,question,answer,document
0,O Espetacular Homem-Aranha 2: A Ameaça De Electro,https://globoplay.globo.com/o-espetacular-homem-aranha-2-a-ameaca-de-electro/t/8m8dBT5TRx/,https://globoplay.globo.com/categorias/filmes-de-aventura/
1,Homem-Aranha: De Volta Ao Lar,https://globoplay.globo.com/homem-aranha-de-volta-ao-lar/t/MZ5SqC7Msb/,https://globoplay.globo.com/categorias/filmes-de-aventura/
2,Homem-Aranha 2,https://globoplay.globo.com/homem-aranha-2/t/khsjXWphkP/,https://globoplay.globo.com/categorias/filmes-de-aventura/
3,Homem-Aranha,https://globoplay.globo.com/homem-aranha/t/CYRRrtj5FG/,https://globoplay.globo.com/categorias/filmes-de-aventura/
4,Os Croods 2: Uma Nova Era,https://globoplay.globo.com/os-croods-2-uma-nova-era/t/psjkS9zqfx/,https://globoplay.globo.com/categorias/filmes-de-aventura/
5,O Regresso,https://globoplay.globo.com/o-regresso/t/C1FkCzBVmH/,https://globoplay.globo.com/categorias/filmes-de-aventura/
6,Demolidor - O Homem Sem Medo,https://globoplay.globo.com/demolidor-o-homem-sem-medo/t/nGWq6rxmHD/,https://globoplay.globo.com/categorias/filmes-de-aventura/
7,2012,https://globoplay.globo.com/2012/t/ysvYDxsBDx/,https://globoplay.globo.com/categorias/filmes-de-aventura/
8,Noé,https://globoplay.globo.com/noe/t/8kWHpkzq1v/,https://globoplay.globo.com/categorias/filmes-de-aventura/
9,Trolls 2,https://globoplay.globo.com/trolls-2/t/2KPmjXjtQ7/,https://globoplay.globo.com/categorias/filmes-de-aventura/
10,Tubarão 3,https://globoplay.globo.com/tubarao-3/t/GFhLrFKmxf/,https://globoplay.globo.com/categorias/filmes-de-aventura/
11,King Kong,https://globoplay.globo.com/king-kong/t/KjQgQTFHrB/,https://globoplay.globo.com/categorias/filmes-de-aventura/
12,O Homem Com Punhos De Ferro,https://globoplay.globo.com/o-homem-com-punhos-de-ferro/t/Vm8sdqMYcS/,https://globoplay.globo.com/categorias/filmes-de-aventura/
13,Os Últimos Cavaleiros,https://globoplay.globo.com/os-ultimos-cavaleiros/t/V9CVxCy6kP/,https://globoplay.globo.com/categorias/filmes-de-aventura/
14,Alice e Peter: Onde Nascem os Sonhos,https://globoplay.globo.com/alice-e-peter-onde-nascem-os-sonhos/t/2Md9gcvJLz/,https://globoplay.globo.com/categorias/filmes-de-aventura/
15,Jurassic World: O Mundo Dos Dinossauros,https://globoplay.globo.com/jurassic-world-o-mundo-dos-dinossauros/t/qkhhqFshCd/,https://globoplay.globo.com/categorias/filmes-de-aventura/
16,Minha Amiga Palma,https://globoplay.globo.com/minha-amiga-palma/t/8rnMYR1cqQ/,https://globoplay.globo.com/categorias/filmes-de-aventura/
17,Jumanji: Bem-Vindo À Selva,https://globoplay.globo.com/jumanji-bem-vindo-a-selva/t/ZFbvdQBscq/,https://globoplay.globo.com/categorias/filmes-de-aventura/
18,A Hora Da Escuridão,https://globoplay.globo.com/a-hora-da-escuridao/t/MWMBb7kt51/,https://globoplay.globo.com/categorias/filmes-de-aventura/
19,O Caçador E A Rainha Do Gelo,https://globoplay.globo.com/o-cacador-e-a-rainha-do-gelo/t/7wvsvgN5RC/,https://globoplay.globo.com/categorias/filmes-de-aventura/
20,Rango,https://globoplay.globo.com/rango/t/Ht9zVSy8jQ/,https://globoplay.globo.com/categorias/filmes-de-aventura/
21,Godzilla II: Rei dos Monstros,https://globoplay.globo.com/godzilla-ii-rei-dos-monstros/t/HNQNNBdthC/,https://globoplay.globo.com/categorias/filmes-de-aventura/
22,Homem-Aranha no Aranhaverso,https://globoplay.globo.com/homem-aranha-no-aranhaverso/t/qPRy5HStDg/,https://globoplay.globo.com/categorias/filmes-de-aventura/
23,O Último Mestre Do Ar,https://globoplay.globo.com/o-ultimo-mestre-do-ar/t/NZvYKyqVW9/,https://globoplay.globo.com/categorias/filmes-de-aventura/
24,Deixados Para Trás - A Nova Geração,https://globoplay.globo.com/deixados-para-tras-a-nova-geracao/t/JBc7wnsL7c/,https://globoplay.globo.com/categorias/filmes-de-aventura/
25,Cães De Luta,https://globoplay.globo.com/caes-de-luta/t/f8zqR2p8rs/,https://globoplay.globo.com/categorias/filmes-de-aventura/
26,Cats e a Gatolândia,https://globoplay.globo.com/cats-e-a-gatolandia/t/zT5rcphxKR/,https://globoplay.globo.com/categorias/filmes-de-aventura/
27,Sonic: O Filme,https://globoplay.globo.com/sonic-o-filme/t/tyDSQ1wRjt/,https://globoplay.globo.com/categorias/filmes-de-aventura/
28,Beethoven - Aventura De Natal,https://globoplay.globo.com/beethoven-aventura-de-natal/t/zDXgD5bvTm/,https://globoplay.globo.com/categorias/filmes-de-aventura/
29,Assalto ao Banco da Espanha,https://globoplay.globo.com/assalto-ao-banco-da-espanha/t/JBfYbmc87j/,https://globoplay.globo.com/categorias/filmes-de-aventura/
30,Warcraft - O Primeiro Encontro De Dois Mundos,https://globoplay.globo.com/warcraft-o-primeiro-encontro-de-dois-mundos/t/rwPqxWz9fW/,https://globoplay.globo.com/categorias/filmes-de-aventura/
31,G.I. Joe: A Origem De Cobra,https://globoplay.globo.com/gi-joe-a-origem-de-cobra/t/Nxh88SNdnX/,https://globoplay.globo.com/categorias/filmes-de-aventura/
32,My Hero Academia: 2 Heróis,https://globoplay.globo.com/my-hero-academia-2-herois/t/q5S2k6Yzcn/,https://globoplay.globo.com/categorias/filmes-de-aventura/
33,Xxx 2 - Estado De Emergência,https://globoplay.globo.com/xxx-2-estado-de-emergencia/t/s51BckK2hh/,https://globoplay.globo.com/categorias/filmes-de-aventura/
34,A Era Dos Dinossauros,https://globoplay.globo.com/a-era-dos-dinossauros/t/KCJpFpGVvj/,https://globoplay.globo.com/categorias/filmes-de-aventura/
35,Triplo X,https://globoplay.globo.com/triplo-x/t/g8ST1D8Q7s/,https://globoplay.globo.com/categorias/filmes-de-aventura/
36,A Família Addams (2019),https://globoplay.globo.com/a-familia-addams-2019/t/vSvPYcJ6vc/,https://globoplay.globo.com/categorias/filmes-de-aventura/
37,Sonhos S.A.,https://globoplay.globo.com/sonhos-sa/t/Q68qPcDXgk/,https://globoplay.globo.com/categorias/filmes-de-aventura/
38,A Filha do Rei,https://globoplay.globo.com/a-filha-do-rei/t/B5Wt6qNPS6/,https://globoplay.globo.com/categorias/filmes-de-aventura/
39,O Último Rei,https://globoplay.globo.com/o-ultimo-rei/t/GDvtY9P1JX/,https://globoplay.globo.com/categorias/filmes-de-aventura/
