,question,answer,document
0,Tropa de Elite 2 - O Inimigo Agora É Outro,https://globoplay.globo.com/tropa-de-elite-2-o-inimigo-agora-e-outro/t/x9qXTWGxTH/,https://globoplay.globo.com/categorias/filmes-de-acao/
1,Blackout! A Batalha Final,https://globoplay.globo.com/blackout!-a-batalha-final/t/n6PLhNf9Z8/,https://globoplay.globo.com/categorias/filmes-de-acao/
2,Jogos Vorazes: A Esperança - O Final,https://globoplay.globo.com/jogos-vorazes-a-esperanca-o-final/t/2G7kkqQ9N2/,https://globoplay.globo.com/categorias/filmes-de-acao/
3,Jogos Vorazes: A Esperança - Parte 1,https://globoplay.globo.com/jogos-vorazes-a-esperanca-parte-1/t/Ncjgm2jW96/,https://globoplay.globo.com/categorias/filmes-de-acao/
4,Carcereiros: O Filme,https://globoplay.globo.com/carcereiros-o-filme/t/LKtgrmf9pM/,https://globoplay.globo.com/categorias/filmes-de-acao/
5,Jogos Vorazes: Em Chamas,https://globoplay.globo.com/jogos-vorazes-em-chamas/t/K5hFvjjht6/,https://globoplay.globo.com/categorias/filmes-de-acao/
6,Tropa De Elite,https://globoplay.globo.com/tropa-de-elite/t/hyrZ9WpsBw/,https://globoplay.globo.com/categorias/filmes-de-acao/
7,O Regresso,https://globoplay.globo.com/o-regresso/t/C1FkCzBVmH/,https://globoplay.globo.com/categorias/filmes-de-acao/
8,Operações Especiais,https://globoplay.globo.com/operacoes-especiais/t/v1xKmX2FDT/,https://globoplay.globo.com/categorias/filmes-de-acao/
9,A Série Divergente: Convergente,https://globoplay.globo.com/a-serie-divergente-convergente/t/yNdxcc1jW9/,https://globoplay.globo.com/categorias/filmes-de-acao/
10,Fúria Sobre Rodas,https://globoplay.globo.com/furia-sobre-rodas/t/LQTMdrKpkM/,https://globoplay.globo.com/categorias/filmes-de-acao/
11,A Série Divergente: Insurgente,https://globoplay.globo.com/a-serie-divergente-insurgente/t/zb8sjSg97s/,https://globoplay.globo.com/categorias/filmes-de-acao/
12,Minority Report - A Nova Lei,https://globoplay.globo.com/minority-report-a-nova-lei/t/zLgHJRZtvJ/,https://globoplay.globo.com/categorias/filmes-de-acao/
13,Mente Criminosa,https://globoplay.globo.com/mente-criminosa/t/qCfdH1tFC6/,https://globoplay.globo.com/categorias/filmes-de-acao/
14,Divergente,https://globoplay.globo.com/divergente/t/5FHxY7cgyr/,https://globoplay.globo.com/categorias/filmes-de-acao/
15,Impacto Mortal,https://globoplay.globo.com/impacto-mortal/t/9xbnVBS6hQ/,https://globoplay.globo.com/categorias/filmes-de-acao/
16,O Incrível Hulk,https://globoplay.globo.com/o-incrivel-hulk/t/ctbPDVfPfk/,https://globoplay.globo.com/categorias/filmes-de-acao/
17,Dunkirk,https://globoplay.globo.com/dunkirk/t/FmpHDZxjTF/,https://globoplay.globo.com/categorias/filmes-de-acao/
18,Alvo Duplo,https://globoplay.globo.com/alvo-duplo/t/PqzX9fjTm9/,https://globoplay.globo.com/categorias/filmes-de-acao/
19,Noé,https://globoplay.globo.com/noe/t/8kWHpkzq1v/,https://globoplay.globo.com/categorias/filmes-de-acao/
20,Você Não Pode Beijar A Noiva,https://globoplay.globo.com/voce-nao-pode-beijar-a-noiva/t/99mQKPqntn/,https://globoplay.globo.com/categorias/filmes-de-acao/
21,Sem Perdão,https://globoplay.globo.com/sem-perdao/t/BVY5SJPTyw/,https://globoplay.globo.com/categorias/filmes-de-acao/
22,Sr. & Sra. Smith,https://globoplay.globo.com/sr-sra-smith/t/6tpSjxvCnn/,https://globoplay.globo.com/categorias/filmes-de-acao/
23,Expresso do Amanhã,https://globoplay.globo.com/expresso-do-amanha/t/gTD8QN6LSw/,https://globoplay.globo.com/categorias/filmes-de-acao/
24,Expresso do Amanhã,https://globoplay.globo.com/expresso-do-amanha/t/gTD8QN6LSw/,https://globoplay.globo.com/categorias/filmes-de-acao/
25,Os Últimos Cavaleiros,https://globoplay.globo.com/os-ultimos-cavaleiros/t/V9CVxCy6kP/,https://globoplay.globo.com/categorias/filmes-de-acao/
26,O Homem Com Punhos De Ferro,https://globoplay.globo.com/o-homem-com-punhos-de-ferro/t/Vm8sdqMYcS/,https://globoplay.globo.com/categorias/filmes-de-acao/
27,O Nome Da Morte,https://globoplay.globo.com/o-nome-da-morte/t/WXgZ9c77Hn/,https://globoplay.globo.com/categorias/filmes-de-acao/
28,Watchmen - O Filme,https://globoplay.globo.com/watchmen-o-filme/t/bxDQ8NztMG/,https://globoplay.globo.com/categorias/filmes-de-acao/
29,A Divisão,https://globoplay.globo.com/a-divisao/t/bT1dnvdQRR/,https://globoplay.globo.com/categorias/filmes-de-acao/
30,Sem Lei,https://globoplay.globo.com/sem-lei/t/MMqYZ669D8/,https://globoplay.globo.com/categorias/filmes-de-acao/
31,Fogo contra Fogo,https://globoplay.globo.com/fogo-contra-fogo/t/1jQTMpSsqk/,https://globoplay.globo.com/categorias/filmes-de-acao/
32,Red - Aposentados E Perigosos,https://globoplay.globo.com/red-aposentados-e-perigosos/t/VNJQKz2ftc/,https://globoplay.globo.com/categorias/filmes-de-acao/
33,Rápida Vingança,https://globoplay.globo.com/rapida-vinganca/t/P12Whmnczb/,https://globoplay.globo.com/categorias/filmes-de-acao/
34,Imortais,https://globoplay.globo.com/imortais/t/TC87kvmRSM/,https://globoplay.globo.com/categorias/filmes-de-acao/
35,Assassin's Creed,https://globoplay.globo.com/assassins-creed/t/KhWwDG8h7h/,https://globoplay.globo.com/categorias/filmes-de-acao/
36,Em Ritmo de Fuga,https://globoplay.globo.com/em-ritmo-de-fuga/t/CRV7hk7FWs/,https://globoplay.globo.com/categorias/filmes-de-acao/
37,John Wick - De Volta Ao Jogo,https://globoplay.globo.com/john-wick-de-volta-ao-jogo/t/xjjRq58GYJ/,https://globoplay.globo.com/categorias/filmes-de-acao/
38,Jack Reacher: O Último Tiro,https://globoplay.globo.com/jack-reacher-o-ultimo-tiro/t/xZxPKWShvW/,https://globoplay.globo.com/categorias/filmes-de-acao/
39,Jason Bourne,https://globoplay.globo.com/jason-bourne/t/zgTWqYpg6N/,https://globoplay.globo.com/categorias/filmes-de-acao/
40,Vingança,https://globoplay.globo.com/vinganca/t/8DqW1Z62H5/,https://globoplay.globo.com/categorias/filmes-de-acao/
41,O Último Mestre Do Ar,https://globoplay.globo.com/o-ultimo-mestre-do-ar/t/NZvYKyqVW9/,https://globoplay.globo.com/categorias/filmes-de-acao/
42,Drive,https://globoplay.globo.com/drive/t/JhHBKSM7W6/,https://globoplay.globo.com/categorias/filmes-de-acao/
43,Alexandre,https://globoplay.globo.com/alexandre/t/ZDBPH6vw1z/,https://globoplay.globo.com/categorias/filmes-de-acao/
44,O Contador,https://globoplay.globo.com/o-contador/t/6SD6wDHtSz/,https://globoplay.globo.com/categorias/filmes-de-acao/
45,O Legado Bourne,https://globoplay.globo.com/o-legado-bourne/t/bFjHXpcWwz/,https://globoplay.globo.com/categorias/filmes-de-acao/
46,Operação Sofia,https://globoplay.globo.com/operacao-sofia/t/2KvhVXNX17/,https://globoplay.globo.com/categorias/filmes-de-acao/
47,Armadilha,https://globoplay.globo.com/armadilha/t/zLNqgp7XKj/,https://globoplay.globo.com/categorias/filmes-de-acao/
48,Força-Tarefa - O Filme,https://globoplay.globo.com/forca-tarefa-o-filme/t/RJVT5YbPms/,https://globoplay.globo.com/categorias/filmes-de-acao/
49,O Legado Bourne,https://globoplay.globo.com/o-legado-bourne/t/bFjHXpcWwz/,https://globoplay.globo.com/categorias/filmes-de-acao/
50,A Identidade Bourne,https://globoplay.globo.com/a-identidade-bourne/t/hs7tP2wCW7/,https://globoplay.globo.com/categorias/filmes-de-acao/
51,Policial Em Apuros,https://globoplay.globo.com/policial-em-apuros/t/ZF5hfDspDK/,https://globoplay.globo.com/categorias/filmes-de-acao/
52,O Doutrinador,https://globoplay.globo.com/o-doutrinador/t/dxMgbZSgzQ/,https://globoplay.globo.com/categorias/filmes-de-acao/
53,Polícia Federal - A Lei É Para Todos,https://globoplay.globo.com/policia-federal-a-lei-e-para-todos/t/nzBxw7zZgS/,https://globoplay.globo.com/categorias/filmes-de-acao/
54,Um Espião E Meio,https://globoplay.globo.com/um-espiao-e-meio/t/BDRNkSV2pD/,https://globoplay.globo.com/categorias/filmes-de-acao/
55,O Protetor (2014),https://globoplay.globo.com/o-protetor-2014/t/GW2ZL7tzDY/,https://globoplay.globo.com/categorias/filmes-de-acao/
56,Assalto ao Banco da Espanha,https://globoplay.globo.com/assalto-ao-banco-da-espanha/t/JBfYbmc87j/,https://globoplay.globo.com/categorias/filmes-de-acao/
57,Terror No Triângulo Das Bermudas,https://globoplay.globo.com/terror-no-triangulo-das-bermudas/t/gjbHrMHpCX/,https://globoplay.globo.com/categorias/filmes-de-acao/
58,Rede de Corrupção,https://globoplay.globo.com/rede-de-corrupcao/t/cbN77hmYSH/,https://globoplay.globo.com/categorias/filmes-de-acao/
59,Sicario: Terra De Ninguém,https://globoplay.globo.com/sicario-terra-de-ninguem/t/Z2qjqqyfZn/,https://globoplay.globo.com/categorias/filmes-de-acao/
60,Codinome Cassius 7,https://globoplay.globo.com/codinome-cassius-7/t/pZvYyX1BHc/,https://globoplay.globo.com/categorias/filmes-de-acao/
61,Impacto Fulminante,https://globoplay.globo.com/impacto-fulminante/t/HvmbQLN5Tc/,https://globoplay.globo.com/categorias/filmes-de-acao/
62,Horizonte Profundo: Desastre No Golfo,https://globoplay.globo.com/horizonte-profundo-desastre-no-golfo/t/FzF7SDFS5f/,https://globoplay.globo.com/categorias/filmes-de-acao/
63,Ataque Solar,https://globoplay.globo.com/ataque-solar/t/7fFpjG1gpv/,https://globoplay.globo.com/categorias/filmes-de-acao/
64,My Hero Academia: 2 Heróis,https://globoplay.globo.com/my-hero-academia-2-herois/t/q5S2k6Yzcn/,https://globoplay.globo.com/categorias/filmes-de-acao/
65,A Supremacia Bourne,https://globoplay.globo.com/a-supremacia-bourne/t/cH6g1c1cMW/,https://globoplay.globo.com/categorias/filmes-de-acao/
66,Xxx 2 - Estado De Emergência,https://globoplay.globo.com/xxx-2-estado-de-emergencia/t/s51BckK2hh/,https://globoplay.globo.com/categorias/filmes-de-acao/
67,12 Horas Para Sobreviver - O Ano Da Eleição,https://globoplay.globo.com/12-horas-para-sobreviver-o-ano-da-eleicao/t/dbjSWTbtmP/,https://globoplay.globo.com/categorias/filmes-de-acao/
68,A Conexão Francesa,https://globoplay.globo.com/a-conexao-francesa/t/CRRj2XCQNP/,https://globoplay.globo.com/categorias/filmes-de-acao/
69,A Era Dos Dinossauros,https://globoplay.globo.com/a-era-dos-dinossauros/t/KCJpFpGVvj/,https://globoplay.globo.com/categorias/filmes-de-acao/
70,Triplo X,https://globoplay.globo.com/triplo-x/t/g8ST1D8Q7s/,https://globoplay.globo.com/categorias/filmes-de-acao/
71,A Grande Aventura de Sinbad,https://globoplay.globo.com/a-grande-aventura-de-sinbad/t/hbrdwj5K5G/,https://globoplay.globo.com/categorias/filmes-de-acao/
72,Blitz,https://globoplay.globo.com/blitz/t/HvtnxV9Bnj/,https://globoplay.globo.com/categorias/filmes-de-acao/
73,Sem Controle,https://globoplay.globo.com/sem-controle/t/YqfLbx7SWn/,https://globoplay.globo.com/categorias/filmes-de-acao/
74,Los Angeles: Cidade Proibida,https://globoplay.globo.com/los-angeles-cidade-proibida/t/25KwVWxN12/,https://globoplay.globo.com/categorias/filmes-de-acao/
75,O Protótipo,https://globoplay.globo.com/o-prototipo/t/FXTMNGgzvQ/,https://globoplay.globo.com/categorias/filmes-de-acao/
76,Plano de Fuga,https://globoplay.globo.com/plano-de-fuga/t/vpy8vXkZgF/,https://globoplay.globo.com/categorias/filmes-de-acao/
77,Anjos Da Noite - Underworld,https://globoplay.globo.com/anjos-da-noite-underworld/t/PLLKJrCFzV/,https://globoplay.globo.com/categorias/filmes-de-acao/
78,Carga Mortal,https://globoplay.globo.com/carga-mortal/t/n1QzXpvMmS/,https://globoplay.globo.com/categorias/filmes-de-acao/
79,Círculo De Monstros,https://globoplay.globo.com/circulo-de-monstros/t/v6yGhytYgM/,https://globoplay.globo.com/categorias/filmes-de-acao/
