,question,answer,document
0,Minha Mãe É Uma Peça 3,https://globoplay.globo.com/minha-mae-e-uma-peca-3/t/czPy785Pt2/,https://globoplay.globo.com/categorias/filmes-de-comedia/
1,Minha Vida Em Marte,https://globoplay.globo.com/minha-vida-em-marte/t/PnJZgKzbFc/,https://globoplay.globo.com/categorias/filmes-de-comedia/
2,Vai Que Cola 2: O Começo,https://globoplay.globo.com/vai-que-cola-2-o-comeco/t/9vL7dFPqzZ/,https://globoplay.globo.com/categorias/filmes-de-comedia/
3,"Fala Sério, Mãe!",https://globoplay.globo.com/fala-serio-mae!/t/ggLFfCZjDp/,https://globoplay.globo.com/categorias/filmes-de-comedia/
4,Os Homens São De Marte... E É Pra Lá Que Eu Vou,https://globoplay.globo.com/os-homens-sao-de-marte-e-e-pra-la-que-eu-vou/t/Pg5pHtB7xL/,https://globoplay.globo.com/categorias/filmes-de-comedia/
5,Os Farofeiros,https://globoplay.globo.com/os-farofeiros/t/yWRmsXvsMN/,https://globoplay.globo.com/categorias/filmes-de-comedia/
6,Minha Mãe É Uma Peça 2,https://globoplay.globo.com/minha-mae-e-uma-peca-2/t/CVsYC9pVjY/,https://globoplay.globo.com/categorias/filmes-de-comedia/
7,Chef,https://globoplay.globo.com/chef/t/6dJZ8TXnmG/,https://globoplay.globo.com/categorias/filmes-de-comedia/
8,Noite de Ano Novo,https://globoplay.globo.com/noite-de-ano-novo/t/rnq8cS6VYW/,https://globoplay.globo.com/categorias/filmes-de-comedia/
9,Sex and the City 2,https://globoplay.globo.com/sex-and-the-city-2/t/HDVqNbqP7W/,https://globoplay.globo.com/categorias/filmes-de-comedia/
10,A Sogra Perfeita,https://globoplay.globo.com/a-sogra-perfeita/t/PSq5WF5SYF/,https://globoplay.globo.com/categorias/filmes-de-comedia/
11,Minha Mãe É Uma Peça,https://globoplay.globo.com/minha-mae-e-uma-peca/t/wgdGs5QCHc/,https://globoplay.globo.com/categorias/filmes-de-comedia/
12,A Acompanhante,https://globoplay.globo.com/a-acompanhante/t/CpprdFDNZv/,https://globoplay.globo.com/categorias/filmes-de-comedia/
13,Vai Que Cola: O Filme,https://globoplay.globo.com/vai-que-cola-o-filme/t/HcD6H5R8zH/,https://globoplay.globo.com/categorias/filmes-de-comedia/
14,O Homem Que Desafiou O Diabo,https://globoplay.globo.com/o-homem-que-desafiou-o-diabo/t/YmCQZkQHxj/,https://globoplay.globo.com/categorias/filmes-de-comedia/
15,De Pernas Pro Ar 3,https://globoplay.globo.com/de-pernas-pro-ar-3/t/R8DQDjWC1r/,https://globoplay.globo.com/categorias/filmes-de-comedia/
16,O Auto Da Compadecida,https://globoplay.globo.com/o-auto-da-compadecida/t/TMFdjjCFHM/,https://globoplay.globo.com/categorias/filmes-de-comedia/
17,"Toc – Transtornada, Obsessiva, Compulsiva",https://globoplay.globo.com/toc-transtornada-obsessiva-compulsiva/t/TVWyxTCCWQ/,https://globoplay.globo.com/categorias/filmes-de-comedia/
18,A Mulher Invisível,https://globoplay.globo.com/a-mulher-invisivel/t/dBd9PnnvjN/,https://globoplay.globo.com/categorias/filmes-de-comedia/
19,Um Natal Muito Britânico,https://globoplay.globo.com/um-natal-muito-britanico/t/9HMBp62JzZ/,https://globoplay.globo.com/categorias/filmes-de-comedia/
