,question,answer,document
0,My Hero Academia: 2 Heróis,https://globoplay.globo.com/my-hero-academia-2-herois/t/q5S2k6Yzcn/,https://globoplay.globo.com/categorias/filmes-de-fantasia/
1,Holy Motors,https://globoplay.globo.com/holy-motors/t/Rm2dnFtQdF/,https://globoplay.globo.com/categorias/filmes-de-fantasia/
2,Nas Trevas,https://globoplay.globo.com/nas-trevas/t/CscHHt8dyN/,https://globoplay.globo.com/categorias/filmes-de-fantasia/
3,Um Diabo Diferente,https://globoplay.globo.com/um-diabo-diferente/t/n892DHChtK/,https://globoplay.globo.com/categorias/filmes-de-fantasia/
4,Joe e as Baratas,https://globoplay.globo.com/joe-e-as-baratas/t/SnGdWYQ2GN/,https://globoplay.globo.com/categorias/filmes-de-fantasia/
5,Redentor,https://globoplay.globo.com/redentor/t/KFMCWRhsm6/,https://globoplay.globo.com/categorias/filmes-de-fantasia/
6,Imortais,https://globoplay.globo.com/imortais/t/TC87kvmRSM/,https://globoplay.globo.com/categorias/filmes-de-fantasia/
7,Apocalipse Zumbi,https://globoplay.globo.com/apocalipse-zumbi/t/Qqnkzk7KKh/,https://globoplay.globo.com/categorias/filmes-de-fantasia/
8,Círculo De Monstros,https://globoplay.globo.com/circulo-de-monstros/t/v6yGhytYgM/,https://globoplay.globo.com/categorias/filmes-de-fantasia/
9,Cães De Luta,https://globoplay.globo.com/caes-de-luta/t/f8zqR2p8rs/,https://globoplay.globo.com/categorias/filmes-de-fantasia/
10,Incidente em Antares - O Filme,https://globoplay.globo.com/incidente-em-antares-o-filme/t/gsdhpB5B9P/,https://globoplay.globo.com/categorias/filmes-de-fantasia/
11,Deus É Brasileiro,https://globoplay.globo.com/deus-e-brasileiro/t/95jYQbsv61/,https://globoplay.globo.com/categorias/filmes-de-fantasia/
12,O Homem Que Desafiou O Diabo,https://globoplay.globo.com/o-homem-que-desafiou-o-diabo/t/YmCQZkQHxj/,https://globoplay.globo.com/categorias/filmes-de-fantasia/
