,question,answer,document
0,Blackout! A Batalha Final,https://globoplay.globo.com/blackout!-a-batalha-final/t/n6PLhNf9Z8/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
1,Jogos Vorazes: A Esperança - O Final,https://globoplay.globo.com/jogos-vorazes-a-esperanca-o-final/t/2G7kkqQ9N2/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
2,Jogos Vorazes: A Esperança - Parte 1,https://globoplay.globo.com/jogos-vorazes-a-esperanca-parte-1/t/Ncjgm2jW96/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
3,Jogos Vorazes: Em Chamas,https://globoplay.globo.com/jogos-vorazes-em-chamas/t/K5hFvjjht6/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
4,A Série Divergente: Convergente,https://globoplay.globo.com/a-serie-divergente-convergente/t/yNdxcc1jW9/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
5,A Série Divergente: Insurgente,https://globoplay.globo.com/a-serie-divergente-insurgente/t/zb8sjSg97s/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
6,2012,https://globoplay.globo.com/2012/t/ysvYDxsBDx/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
7,Minority Report - A Nova Lei,https://globoplay.globo.com/minority-report-a-nova-lei/t/zLgHJRZtvJ/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
8,Mente Criminosa,https://globoplay.globo.com/mente-criminosa/t/qCfdH1tFC6/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
9,A Chegada,https://globoplay.globo.com/a-chegada/t/JzN9CPpvDN/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
10,Divergente,https://globoplay.globo.com/divergente/t/5FHxY7cgyr/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
11,Expresso do Amanhã,https://globoplay.globo.com/expresso-do-amanha/t/gTD8QN6LSw/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
12,A Cela,https://globoplay.globo.com/a-cela/t/JTPDzYyxXx/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
13,Jurassic World: O Mundo Dos Dinossauros,https://globoplay.globo.com/jurassic-world-o-mundo-dos-dinossauros/t/qkhhqFshCd/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
14,A Hora Da Escuridão,https://globoplay.globo.com/a-hora-da-escuridao/t/MWMBb7kt51/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
15,Assassin's Creed,https://globoplay.globo.com/assassins-creed/t/KhWwDG8h7h/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
16,Deixados Para Trás - A Nova Geração,https://globoplay.globo.com/deixados-para-tras-a-nova-geracao/t/JBc7wnsL7c/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
17,Uma Noite De Crime: Anarquia,https://globoplay.globo.com/uma-noite-de-crime-anarquia/t/t2vJYvrpTx/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
18,No Topo do Poder,https://globoplay.globo.com/no-topo-do-poder/t/6rFQ5812Pf/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
19,Presságio,https://globoplay.globo.com/pressagio/t/CQw5CTKxhG/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
20,Uma Noite de Crime,https://globoplay.globo.com/uma-noite-de-crime/t/vRHJkfL89K/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
21,Império Dos Tubarões,https://globoplay.globo.com/imperio-dos-tubaroes/t/FLQpSNkhr2/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
22,Ataque Solar,https://globoplay.globo.com/ataque-solar/t/7fFpjG1gpv/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
23,O Último Suspiro,https://globoplay.globo.com/o-ultimo-suspiro/t/SSqsZ6HfxH/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
24,Sem Limites,https://globoplay.globo.com/sem-limites/t/PgHrJsCRd5/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
25,O Protótipo,https://globoplay.globo.com/o-prototipo/t/FXTMNGgzvQ/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
26,A Câmara do Medo,https://globoplay.globo.com/a-camara-do-medo/t/S9yCMnYsLB/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
27,Um Homem Só,https://globoplay.globo.com/um-homem-so/t/RFwMKSdGYh/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
28,Level 16,https://globoplay.globo.com/level-16/t/ybJxQyH1xx/,https://globoplay.globo.com/categorias/filmes-de-ficcao-cientifica/
