,question,answer,document
0,Cinquenta Tons De Cinza,https://globoplay.globo.com/cinquenta-tons-de-cinza/t/mVZ9nJz5CW/,https://globoplay.globo.com/categorias/filmes-romanticos/
1,Panama,https://globoplay.globo.com/panama/t/8JTfYxTLDP/,https://globoplay.globo.com/categorias/filmes-romanticos/
2,A Saga Crepúsculo: Amanhecer - Parte 2,https://globoplay.globo.com/a-saga-crepusculo-amanhecer-parte-2/t/sdkgFcwFH6/,https://globoplay.globo.com/categorias/filmes-romanticos/
3,A Saga Crepúsculo: Amanhecer - Parte 1,https://globoplay.globo.com/a-saga-crepusculo-amanhecer-parte-1/t/d9G5FCj8jy/,https://globoplay.globo.com/categorias/filmes-romanticos/
4,Crepúsculo,https://globoplay.globo.com/crepusculo/t/p1BHW7BymB/,https://globoplay.globo.com/categorias/filmes-romanticos/
5,Presença de Anita - O Filme,https://globoplay.globo.com/presenca-de-anita-o-filme/t/hGTsK5FdhN/,https://globoplay.globo.com/categorias/filmes-romanticos/
6,A Saga Crepúsculo: Eclipse,https://globoplay.globo.com/a-saga-crepusculo-eclipse/t/VkFT6QbbzK/,https://globoplay.globo.com/categorias/filmes-romanticos/
7,A Saga Crepúsculo: Lua Nova,https://globoplay.globo.com/a-saga-crepusculo-lua-nova/t/QrPRzt7Bh9/,https://globoplay.globo.com/categorias/filmes-romanticos/
8,Sex and the City 2,https://globoplay.globo.com/sex-and-the-city-2/t/HDVqNbqP7W/,https://globoplay.globo.com/categorias/filmes-romanticos/
9,Noite de Ano Novo,https://globoplay.globo.com/noite-de-ano-novo/t/rnq8cS6VYW/,https://globoplay.globo.com/categorias/filmes-romanticos/
10,A Acompanhante,https://globoplay.globo.com/a-acompanhante/t/CpprdFDNZv/,https://globoplay.globo.com/categorias/filmes-romanticos/
11,Swing: Em Busca do Prazer,https://globoplay.globo.com/swing-em-busca-do-prazer/t/58pLYVTfhq/,https://globoplay.globo.com/categorias/filmes-romanticos/
