,question,answer,document
0,It: A Coisa,https://globoplay.globo.com/it-a-coisa/t/XBQYYy7VNw/,https://globoplay.globo.com/categorias/filmes-de-terror/
1,Premonição 3,https://globoplay.globo.com/premonicao-3/t/kYCRJ2TXLj/,https://globoplay.globo.com/categorias/filmes-de-terror/
2,A Hora Do Pesadelo,https://globoplay.globo.com/a-hora-do-pesadelo/t/TSYdLqbtch/,https://globoplay.globo.com/categorias/filmes-de-terror/
3,Premonição 5,https://globoplay.globo.com/premonicao-5/t/KnJCBYp5D1/,https://globoplay.globo.com/categorias/filmes-de-terror/
4,Feitiço das Trevas,https://globoplay.globo.com/feitico-das-trevas/t/jwjWNxxkSg/,https://globoplay.globo.com/categorias/filmes-de-terror/
5,Sexta-Feira 13: Bem-Vindo A Crystal Lake,https://globoplay.globo.com/sexta-feira-13-bem-vindo-a-crystal-lake/t/2p6tVp6fY2/,https://globoplay.globo.com/categorias/filmes-de-terror/
6,Shirley,https://globoplay.globo.com/shirley/t/hYWwyH9MLH/,https://globoplay.globo.com/categorias/filmes-de-terror/
7,Ataque Do Tubarão De 2 Cabeças,https://globoplay.globo.com/ataque-do-tubarao-de-2-cabecas/t/7DQgJsHNBb/,https://globoplay.globo.com/categorias/filmes-de-terror/
8,O Iluminado,https://globoplay.globo.com/o-iluminado/t/nfGDLg896r/,https://globoplay.globo.com/categorias/filmes-de-terror/
9,Apocalipse Zumbi,https://globoplay.globo.com/apocalipse-zumbi/t/Qqnkzk7KKh/,https://globoplay.globo.com/categorias/filmes-de-terror/
10,Massacre no Texas,https://globoplay.globo.com/massacre-no-texas/t/yfkgbm2H8q/,https://globoplay.globo.com/categorias/filmes-de-terror/
11,Ouija: Origem Do Mal,https://globoplay.globo.com/ouija-origem-do-mal/t/stPMS6ws5S/,https://globoplay.globo.com/categorias/filmes-de-terror/
12,Navio Fantasma,https://globoplay.globo.com/navio-fantasma/t/vBcFFpRHR5/,https://globoplay.globo.com/categorias/filmes-de-terror/
13,Ouija: O Jogo Dos Espíritos,https://globoplay.globo.com/ouija-o-jogo-dos-espiritos/t/jbxY8vQWT9/,https://globoplay.globo.com/categorias/filmes-de-terror/
14,Tubarões De Gelo,https://globoplay.globo.com/tubaroes-de-gelo/t/CLcKLYLPwB/,https://globoplay.globo.com/categorias/filmes-de-terror/
15,O Manicômio,https://globoplay.globo.com/o-manicomio/t/QSRwrzRwwD/,https://globoplay.globo.com/categorias/filmes-de-terror/
16,Krampus: O Terror Do Natal,https://globoplay.globo.com/krampus-o-terror-do-natal/t/6RRtLHHWsn/,https://globoplay.globo.com/categorias/filmes-de-terror/
17,Doce Vingança 2,https://globoplay.globo.com/doce-vinganca-2/t/wNzxW6pVDn/,https://globoplay.globo.com/categorias/filmes-de-terror/
18,A Bruxa,https://globoplay.globo.com/a-bruxa/t/7Brpwt6tKr/,https://globoplay.globo.com/categorias/filmes-de-terror/
19,Bruxa De Blair,https://globoplay.globo.com/bruxa-de-blair/t/9DRypKQTFS/,https://globoplay.globo.com/categorias/filmes-de-terror/
20,A Seita,https://globoplay.globo.com/a-seita/t/1dSMKsf16K/,https://globoplay.globo.com/categorias/filmes-de-terror/
21,Uma Noite De Crime: Anarquia,https://globoplay.globo.com/uma-noite-de-crime-anarquia/t/t2vJYvrpTx/,https://globoplay.globo.com/categorias/filmes-de-terror/
22,Vem Brincar,https://globoplay.globo.com/vem-brincar/t/XNRFnPmrnv/,https://globoplay.globo.com/categorias/filmes-de-terror/
23,Uma Noite de Crime,https://globoplay.globo.com/uma-noite-de-crime/t/vRHJkfL89K/,https://globoplay.globo.com/categorias/filmes-de-terror/
24,O Rebanho,https://globoplay.globo.com/o-rebanho/t/d7jLdQL8Fp/,https://globoplay.globo.com/categorias/filmes-de-terror/
25,O Animal Cordial,https://globoplay.globo.com/o-animal-cordial/t/p1DhHffnwD/,https://globoplay.globo.com/categorias/filmes-de-terror/
26,Amizade Maldita,https://globoplay.globo.com/amizade-maldita/t/JSRsnmcPwx/,https://globoplay.globo.com/categorias/filmes-de-terror/
27,O Chamado 2,https://globoplay.globo.com/o-chamado-2/t/5Gg2tW1yZy/,https://globoplay.globo.com/categorias/filmes-de-terror/
28,Pânico na Floresta: A Fundação,https://globoplay.globo.com/panico-na-floresta-a-fundacao/t/Tdd9pp92sF/,https://globoplay.globo.com/categorias/filmes-de-terror/
29,O Chamado,https://globoplay.globo.com/o-chamado/t/jyQMfBsxTQ/,https://globoplay.globo.com/categorias/filmes-de-terror/
30,Garota Sombria Caminha Pela Noite,https://globoplay.globo.com/garota-sombria-caminha-pela-noite/t/5mbwTvSryj/,https://globoplay.globo.com/categorias/filmes-de-terror/
31,Doce Vingança,https://globoplay.globo.com/doce-vinganca/t/zmsChbXyL8/,https://globoplay.globo.com/categorias/filmes-de-terror/
32,Quando Eu Era Vivo,https://globoplay.globo.com/quando-eu-era-vivo/t/5VcDXbkVq1/,https://globoplay.globo.com/categorias/filmes-de-terror/
33,Resident Evil 2: Apocalipse,https://globoplay.globo.com/resident-evil-2-apocalipse/t/Sk9VWfhdMg/,https://globoplay.globo.com/categorias/filmes-de-terror/
34,Sozinha,https://globoplay.globo.com/sozinha/t/5jZ9JkfvZZ/,https://globoplay.globo.com/categorias/filmes-de-terror/
35,Ataque Do Tubarão De 5 Cabeças,https://globoplay.globo.com/ataque-do-tubarao-de-5-cabecas/t/rYPXPZcp9G/,https://globoplay.globo.com/categorias/filmes-de-terror/
36,Fragmentado,https://globoplay.globo.com/fragmentado/t/QXJQc6ZRmk/,https://globoplay.globo.com/categorias/filmes-de-terror/
37,Doutor Sono,https://globoplay.globo.com/doutor-sono/t/H7HxkJYbsT/,https://globoplay.globo.com/categorias/filmes-de-terror/
38,À Meia-Noite Levarei Sua Alma,https://globoplay.globo.com/a-meia-noite-levarei-sua-alma/t/X22hGFB8sd/,https://globoplay.globo.com/categorias/filmes-de-terror/
39,Atalho,https://globoplay.globo.com/atalho/t/HY5JXmNx5M/,https://globoplay.globo.com/categorias/filmes-de-terror/
40,Amityville: O Despertar,https://globoplay.globo.com/amityville-o-despertar/t/ZSbjnBwBPV/,https://globoplay.globo.com/categorias/filmes-de-terror/
41,Annabelle 3: De Volta Para Casa,https://globoplay.globo.com/annabelle-3-de-volta-para-casa/t/BWfhmzJFkk/,https://globoplay.globo.com/categorias/filmes-de-terror/
42,Ataque Do Tubarão De 3 Cabeças,https://globoplay.globo.com/ataque-do-tubarao-de-3-cabecas/t/xSYpzJBShS/,https://globoplay.globo.com/categorias/filmes-de-terror/
43,O 3º andar - Terror na Rua Malasaña,https://globoplay.globo.com/o-3o-andar-terror-na-rua-malasana/t/gDGtH5JNgT/,https://globoplay.globo.com/categorias/filmes-de-terror/
44,O Chamado do Mal,https://globoplay.globo.com/o-chamado-do-mal/t/XZ6cvcpgMj/,https://globoplay.globo.com/categorias/filmes-de-terror/
45,Invocação do Mal,https://globoplay.globo.com/invocacao-do-mal/t/zsSn292ybQ/,https://globoplay.globo.com/categorias/filmes-de-terror/
46,Feitiço,https://globoplay.globo.com/feitico/t/XXy1PGkxXZ/,https://globoplay.globo.com/categorias/filmes-de-terror/
47,Os Intrusos,https://globoplay.globo.com/os-intrusos/t/gcSqnCdsxP/,https://globoplay.globo.com/categorias/filmes-de-terror/
48,A Maldição da Chorona,https://globoplay.globo.com/a-maldicao-da-chorona/t/FXhzn9WtHr/,https://globoplay.globo.com/categorias/filmes-de-terror/
49,Brinquedo Assassino (2019),https://globoplay.globo.com/brinquedo-assassino-2019/t/Y6GTvQcSfB/,https://globoplay.globo.com/categorias/filmes-de-terror/
50,Jogos Mortais: Jigsaw,https://globoplay.globo.com/jogos-mortais-jigsaw/t/XJYvqJKBPS/,https://globoplay.globo.com/categorias/filmes-de-terror/
51,Brincadeira Mortal,https://globoplay.globo.com/brincadeira-mortal/t/RRWp9sG6VZ/,https://globoplay.globo.com/categorias/filmes-de-terror/
52,O Bebê De Rosemary - Parte 1 (2014),https://globoplay.globo.com/o-bebe-de-rosemary-parte-1-2014/t/HxHhjzKq97/,https://globoplay.globo.com/categorias/filmes-de-terror/
53,A Viúva das Sombras,https://globoplay.globo.com/a-viuva-das-sombras/t/jRn2QJrbRM/,https://globoplay.globo.com/categorias/filmes-de-terror/
54,Entidade Maligna,https://globoplay.globo.com/entidade-maligna/t/sc68kZRkTf/,https://globoplay.globo.com/categorias/filmes-de-terror/
55,O Desafio,https://globoplay.globo.com/o-desafio/t/R5ZqN1wJTc/,https://globoplay.globo.com/categorias/filmes-de-terror/
