,question,answer,document
0,What Shoelace Length Do I Need?,"You can determine the shoelace length you need by removing the laces from your shoe and measuring the lace or use our shoelace sizing chart.
",https://support.newbalance.com/s/article/What-Shoelace-Length-Do-I-Need
1,Men's Apparel Sizing Guide,"There are 3 fits for tops and bottoms: fitted, athletic and relaxed. Fit types are listed below and are indicated on each apparel item on https://www.newbalance.com/:

-Fitted - Snug against the body for range of motion with no extra fabric
-Athletic - Tops skim the chest, waist, and hip for active movement, but are not tight
For bottoms, athletic cuts skim the hip and thigh and have rises that are close to the body but are not tight
-Relaxed - Tops drape loosely from the chest, waist, and hip for total comfort and ease
Relaxed bottoms are generously cut through the hip and thigh, with rises that sit away from the body
",https://support.newbalance.com/s/article/Men-s-Apparel-Sizing-Guide-US
2,Women's Shoe Sizing Tips,"When ordering New Balance shoes, please order your normal athletic shoe size.
",https://support.newbalance.com/s/article/212628088-Women-s-Shoe-Sizing-Tips
3,Men's Shoe Sizing Tips,"When ordering New Balance shoes, please order your normal athletic shoe size.
",https://support.newbalance.com/s/article/212622938-Men-s-Shoe-Sizing-Tips
4,Kid's International Size Conversion Chart,"Use the Kid's Size Conversion Chart to find your child's US, UK, or Euro shoe size: https://support.newbalance.com/s/article/212733998-Kids-International-Size-Conversion-Chart
",https://support.newbalance.com/s/article/212733998-Kids-International-Size-Conversion-Chart
5,How to Convert Your Shoe Size to a Kid's Size,"When converting a Women's size to a Big Kid's size you will go down 1.5 sizes. Kid's shoes are built on a Men's sizing scale, so Men's sizing will be the same. Kid's shoe sizing stops at size 7 and Men's typically starts at size 7.
",https://support.newbalance.com/s/article/How-to-Convert-Your-Shoe-Size-to-a-Kid-s-Size
6,How to Convert Your Women's Shoe Size to a Men's Shoe Size,"There is an approximate 1.5 size difference between Men's and Women's sizing (e.g., a men's size 7 is roughly equivalent to a women's size 8.5). In most styles, the smallest men's size offered is 5.5.

Unisex styles are in Men's sizing. Women should size down 1.5 sizes.

Widths remain the same during conversion. If you wear a Women's D width, you will also wear a Men's D width
",https://support.newbalance.com/s/article/NBUS-How-to-Convert-Your-Women-s-Shoe-Size-to-a-Men-s-Shoe-Size
7,Kids' Shoe Sizing Guide,"Kids' shoes range in size from 0 (most newborns) to 7 (our largest grade school size). Kids' sizes stop at size 7, followed by a men's 7.5.
",https://support.newbalance.com/s/article/212628118-Kids-Shoe-Sizing-Guide
8,Can I Modify the Way I Lace My Shoes?,"Lacing techniques can help fine tune the fit of a shoe.

The following lacing techniques can be seen in the attachment (LacingTechniques) below.

Narrow Heel
Narrow Foot
High Instep
Wide Forefoot
More Room
We recommend having your feet measured every year as part of proper foot health. NBRx dealers who have expert shoe fit specialists can be found by visiting https://www.newbalance.com/stores/.
",https://support.newbalance.com/s/article/Can-I-Modify-the-Way-I-Lace-My-Shoes
9,Wear Questions: Using the Right Shoe for the Right Activity,"When trying to get the best life and value out of your shoes, consider the following:

What activities am I using the shoe for?
Using a shoe for its unintended purpose can cause a shoe to wear faster than you may expect
Running and walking shoes are designed for forward movements. They are not recommended for gym workouts or such as tennis or soccer, as these activities usually require a lot of side to side and pivoting movements
Using a style designed for a specific sport, such as soccer or baseball will ensure a longer life of the product and help you perform your best
We recommend cross-trainers for gym workouts, weightlifting, and other activities that involve side to side movements
You can walk in any style of shoe, including running shoes or cross-trainers
We do not recommend running in walking shoes
We recommend running in cross-trainers for short distances only
Lifestyle, Classics and Sport Style products are intended for casual wear
",https://support.newbalance.com/s/article/NBUS-Wear-Questions-Using-the-Right-Shoe-for-the-Right-Activity
10,Wear Questions: Getting the Right Fit,"When trying to get the best life and value out of your shoes, consider the following:
",https://support.newbalance.com/s/article/NBUS-Wear-Questions-Getting-the-Right-Fit
11,Wear Tips: Performance Apparel,"Being in the right apparel for your workout is important to us. Below are some tips to follow when caring for New Balance apparel.

Performance Apparel
Follow the care instructions on the label
Refrain from using fabric softener as this can cause the technologies in the fibers to not work as intended
We recommend also using a dye-free detergent
Sports Bras
Follow the care instructions on the label
We recommend washing sports bras in a garment bag or a pillowcase - this helps keep the bra from losing its elasticity and shape
",https://support.newbalance.com/s/article/NBUS-Wear-Tips-Performance-Apparel
